review_id,review_text
8wFaFOrczJvgsNlrZ_C7Hw,アメニティが揃っていて良かった。
VrO6YN7FxEoSjVE4T1mLvg,駅から近く徒歩圏内です。周辺にはコンビニもあり便利でした。部屋はきれいで過ごしやすかったです。
ePhb08U7d6Hu5wX2zE3T7g,大浴場、露天風呂は最高でした！
IGEMFCR5sNrM3ZhBml3RRQ,露天風呂が最高ですねーサウナがあれば100点満点
V7psvbh2JPQHn2xhdVbA_w,掛布団カバーの両サイドに羽毛布団を引っ張る為のスリットがあって、補修用の布などで丁寧に繕われているならまだしも、乱暴に紙のガムテープで処理してあって、がっかりです。
D0BDFDp8F50gjBP5Z9RCrQ,チェックインの際並んで待っていても平気で後の人を受付したし、他のカウンターが空いても此方から声を掛けないと平気でいるのでもう少し気遣いが欲しい。
wvKOqBvZ5tmE_eS52G1_hw,お部屋は隅々までとても綺麗に掃除され、広くて大満足でした！
Ihnx7mWGP6SoDlI6jzySqQ,朝食は本当に美味しかったです、勝手丼を作るのが楽しくて、さらに美味しく感じられました。
UXWj1PAzt6H3suF6fGb59A,食事内容も充実し、温泉もちょうどよい温度で気持ちよかった
1QKe06l2BPB6bTQD2Q5oVw,久しぶりに朝食バイキングが美味しいホテルに出会い、とても嬉しく思いました！
WJ3ZJB1fZwHgRxVsujP-ZA,朝食以外は良かったです。
3eBO-g3ZnsZYJ56ZmqFEQg,アメニティが充実してた。
YJxCyMi6GMX_MWhm-zmDuw,レトルトカレーを頂きプチ嬉しかったです。
MEidXG8JbxM0JduhNKqDNw,駅から徒歩圏内で立地は非常に良いと思います。
ucKVFNk6BrtadxfkUT-ahQ,今度のお風呂は岩風呂でした。雰囲気も良くとても心地よく入れました。2人でも十分に広くて肩まで入るくらい深さもあるのでとてもゆったり入れて良かったです。
NT1NBmipMFeVcUhcCPVrGg,接客が良く館内施設も清潔感があり大変満足しました。
upJVtz5oeWTmIJwE2sLxYA,娘と二人で宿泊したのですが、部屋も広々とあずましく、室温もちょうど良く満足です。
1bevQnjkxPI4tStdnxeA_A,温泉も良く、食事も良く、快適にリラックスして過ごすことができました。
BwovH3j04kKRRX6cTOq86g,部屋は広く静かで良い感じで寝具もクッション性がよくゆっくり眠れました。
p3qSiXGk6BViRA90ztrtgQ,立地が良くて便利です。
xQZa49sajHFyQA98gcGsug,前回コメントしたからか、今回はエレベーターから近い部屋を案内されました。すぐにフィードバックされているのは素晴らしいし、サービスの質が高いと思います。
z8PHp9XkvY3Mcpc6piuWzg,お部屋が綺麗でお掃除も丁寧で、最上階のお部屋をご用意いただき、とても快適に過ごすことができました。
rzOLVWOt7XfQg-2UebKuIA,朝食バイキング値段の割には品数が少ないよーな
Puh3Ufsl0THYKBix2TMcMw,朝食はバイキングで売り切れになった皿の追加が少し遅かったのと、納豆がなかったのが残念です。
R41fZ4s9tfSc2WDjtMqIfA,とにかく朝食がよかった。食べきれないほど種類が多て美味しかった。
7bdIXH3oj9bASNFhy2WGKw,路面電車の駅が近くにあり、移動しやすい中心街で、買い物に行くにも便利でした。
t4FtPUJ8SpgLGFqL2O8UsA,各観光地へも行きやすい立地で大浴場もあり、フロントの対応も手際が良く丁寧です。
gk-XEfTj7SM4bnD8dsiHjg,部屋がきれいでした。
059ZIG_5A-7_cBAqCINGvA,大浴場のシャンプーバーがちょっとした息抜きになり良かったです。
d4jKlbjrenACJ0qQsu4FOg,美味しい朝食でした。
JhVhQOnJuv7MoCzHUm44ww,10-12階の階層で予約しました、お風呂上がりのラウンジがとても良いサービスでした、風呂上がりに飲み物を買って眺める函館の港はとても綺麗でした。
