review_id,review_text
JV8kg75Fo6pZy3koBCRZmw,朝ごはんはおかずの種類も多く、おかわりしてしまい食べすぎてしまうほど美味しかったです。
VXE-uaORX8gF8jfR3YiLBw,無料のカレー、朝食とても美味しかったです。
A_XHRlUKFQTQbSqCK-D8HA,またすべてのスタッフさんたちの接客から挨拶は本当に素晴らしかったです。
8jT6TGyIjBsK1iETyZBRsQ,国道側へのアクセスが遠く、立地的には車が必須かなと思います。
hmsD9ZVbs7c7c8FOygZWUA,更にチェックインの受付の方の対応や朝食時の対応もキビキビと笑顔で対応され、とても居心地良かったです。
LZXIcqALwqs8inXHn1WaEA,カレーもラーメンも美味しかったです！
lwEQ5-to977epsnphBV8Ag,フロントマンが少し無愛想かな、
5CtLjzhQ6p_Aand_EKMlfw,駅近で最高の立地、部屋もキレイでベッドも大きく、ゆっくり休むことができました。
zc7vhSMhS1cyReh_NEEoXw,駅から近く便利。
EfEMlPVNvkYecK5tbXwOjw,男性限定ですが、大浴場があり、旅の疲れを癒せました。
LQNCWXtthJRrzMySMtmuYQ,１階の天然温泉は清潔感があり、お湯の温度も丁度よく、とても温まります。
cf12aJnx3mQy77NTYjtV8w,ホテル目の前にコンビニもあり、とても便利です。
MEKRNXJPg-QRNcI1oLlxmg,清潔感があり、朝食も満足でした。
P5lQRf_GyixG61P2DlHBZw,雪が降っても目の前が大きめのローソンがあるので困らない。
7aVifNrelkcgOHdVN9xT1A,アメニティも充実してるし文句のつけ所ないと思いました。
d3p1zWJ6_h7PgPurPnpWiQ,どのお風呂も風情があって良かったです。
LdxND7SK8yhEBpeBOCQBkQ,朝夕共にすばらしいお料理で、とても美味しかったです！！
CA1m1yisnjNuU-qf4llBcg,初めてお部屋食でお願いしましたが、広いお部屋でしたので、ゆっくりと夕食を楽しむことができました
zUMOfGu1lAXRx9vfKbzzuw,温泉も冬季は3種類あって熱すぎなかったのでよかったです。
m_v82KYIJpaMsRuUy7bVMg,今回は地酒付、2食付にしましたが、個人的には夜ご飯もきりたんぽはありましたが、山菜などでもっとシンプルな郷土っぽい料理が食べたかったです。
8lGU-gsWo2z0jACthecQBw,部屋は広くて非常によかったです。
h_Lbo_hdJ-pI0G6E-rb0_Q,チェックアウトの時若い男性が対応してくれたがクレカを受け取りありがとうございましたもなく返却され帰された。
ZSzXjh2SzbGmlkMqtnODqg,お風呂はユニットバスではなくバスタブの外で体が洗えて家族で宿泊するにはありがたかったです。
yUXhBSAscyzqi7QxECReIQ,綺麗な部屋でした。
VvjhIGkYQtqwLgVjW-zefA,夕食、朝食ともとてもおいしかった。
G76GH7M7f4AFIoAToPdbOg,天気が良く部屋から見える雪景色の山々や田沢湖が綺麗で感動しました。
IW2SB5lgh9Y22uKgT8u0NA,料理が美味しく、素材もいい物が使われていた。
1NjfPsiQPdYi0WRiHopkTQ,ご飯は美味しいです。
QWRfaaMxUQIqsRwuCDuiug,田沢湖を望みながらでの絶景で源泉かけ流しの温泉は素晴らしい。
vqgsefSVlqb8dxItc9OR5Q,そのかわり早くから予約しないと、なかなか予約が取れない。
SHSOgSGjZvDKcHm_B4-YgQ,すぐ隣に良い感じの居酒屋や、スーパー、ドラッグストアが有り便利です。
ABCv0_Hkkpcu1lwSBkfzag,宿泊の前日と当日は長距離を移動していたため疲労を感じていましたが、ゆっくり足を延ばせる湯船につかり、リフレッシュさせて頂きました。
g-tztE_XHxfVFhdLhZVXig,十分な広さの清潔で落ち着くインテリアのお部屋。
Czip_DoaQyFlDfP4_B1UdQ,清掃もしっかりされており、ゆったり泊まることができました。
zbhTs-Ys7zHr0KyZkCYPKA,部屋から山形市内を一望出来る高層の部屋はリゾートホテルかと思わせる開放感が味わえる。
XNuGsTHK1Bqpt-FNNXZ7xg,ネットが遅すぎて仕事が出来ません。
Cq5J_fIbRm9Lo79pa-T1aA,最近は珍しく朝食が配膳でした。メニューは少し物足りなかったです。
Ff6bqku_PDUFuxmg6PcVIg,米は美味しく、味は良かった
SQeFuyslJHj75q6evED6Xw,霞城セントラルの２４階がフロントですので、山形市内を見渡せる展望台を通っていくことになります。
Wa9LhpwttbnZmY5DPdBQQg,駅からも近く立地は最高です。
_R-JkG5gy5Lx1JV7o__Stg,お風呂の洗い場があることが、一番です。
T7sY61AW8lDGzCcIqxpAvw,全体的にとてもきれいで過ごしやすかったです。
e0yteeAHyVp8C2Q_oPKNxA,2度目の宿泊ですが、まだ新しくとても綺麗なホテルで快適にのんびりさせて頂きました。
qnIWYv3opxe7OuLeQsVOhQ,細かなところですがフロント横に置いてあるアメニティ類の化粧水も使ってみると非常にクォリティの高い高級品だなと感激しました。
vd9Y7L1ONHzucpQp3S7exg,フロントの方が感じ良かったお料理は値段の割にはすごくよいと思います
GorKfig9yZBU8AuvObnQ1g,夕食想像以上に良かったです。
2iJCueDXvEJzjeqNUvU77Q,家族旅行でしたが、みんな満喫できてよかったです。
_k7XJ0qlqnaCuUy3pYZMXw,過剰なサービスはありませんがスタッフの方々も親切で良かったです。
tFl3UIVUYfxI4EANdH6V3g,温泉は体が芯から温まって良かったです。
My1R6Wkrf6YWwx8yJw2IHw,リニューアルして間もないのか空調や水廻りも綺麗で、どこか落ち着くいい感じのホテルでした。
