hotel_id,prefecture,review_text
106267,shimane,1月31日に宿泊しました。食事は個室でしたのでゆっくり出来ました経営母体が代わるとの事でした。4月からなのでしょうかそれまでリニューアルして引き続き又宿泊したいと思います。
106267,shimane,温泉に一人で泊まろうとすると割高になりますがこちらはシングルのお部屋があるので大変有難いです。リーズナブルなお値段の割に高級感のある施設だと思います。ロビーから眺める庭園も心落ち着きます。温泉で一人夕食をとるのも味気ないうえ、そうたくさんも食べられないので素泊まりプランは魅力的です。好きなお酒やつまみを持ち込んでお部屋でくつろいで食べられます。前回利用してとても気に入ったのでまたこちらを利用させていただきました。　フリードリンクや新聞のサービスも高評価です。　また利用させていただくと思います。今回一点気になったのはバスタオルと一緒においてあったフェイスタオルはビニール包装してあるもののゴワゴワしていて新品とは思えませんでした。新品でない物を包装して置くのは思議な気がしましたが。
106267,shimane,今回はギュギュっと（牛牛っと）しまねプランを利用しました。島根和牛をいろいろな形で楽しむことができて、良かったです。また、いずれの品も美味しくまた見た目もきれいに仕上げてくれており、堪能できました。お風呂は大きくて、ゆったりと楽しむことができました。夜は、安来節や踊りを楽しむこともできて、こちらも島根に訪問したという感じで、楽しむことができました。朝食は、お弁当形式で部屋或いは指定場所で楽しむことができる方式で、密になることがなく、コロナ以降の対策としては、良い方法と思いました。スタッフの対応は、必要かつ十分な対応の形となっており、これもよかったです。また、機会があれば滞在したいと思います。
106267,shimane,とても良い温泉でしたお料理も美味しくいただきましたどじょうすくいが観れて嬉しかったです
106267,shimane,中庭が見渡せる和室に9ヶ月の娘と3人で宿泊しました。朝食に海鮮丼やシジミを使った料理が数種類あって美味しく頂きました。温泉にも朝と夕2回入ってそれぞれの大浴場でゆっくり満喫しました。
78179,shimane,丁度良い規模の旅館です。プロジェクションマッピングによる夕食後の企画も良かったです。料理は、海鮮がメインの地域ですが、あえてお肉に特化したコースにしました。固形燃料による自身の調理となるため、火加減が少し難しいと思いました。朝食は、ビュッフェスタイルで種類豊富で良かったです。特にカレーは最高でした。
78179,shimane,とてもお得に楽しめて、大満足でした。
78179,shimane,とても優しく気遣いしてくださるスタッフの方々のおかげで楽しく過ごせました。冷え込んだ夜は布団は暖かかったのですが暖房がいくら温度を上げても効きにくいのが困りました。あと、食事のテーブルに敷いてる地図のようなものが写真映えを邪魔してしまい、インスタ写真がうまく撮れなかったのは残念です。ご飯、お風呂は大満足です。檜風呂よかったです。
78179,shimane,1/28に友人と初めてお邪魔せて頂きました。従業員すべての方の接客、接遇が素晴らしいです。夕食の際には、コースターに担当の方の似顔絵入りであったり、メッセージカードがあり、チェックアウトの際にも、夕食の際に担当して下さったスタッフの方からメッセージカードを頂いたり、感動します。お料理も大変美味しくて、朝食、夕食共に大満足です。（プリン、フレンチト＾ストは、本当に美味しい）お部屋も、しっかり整えられており、リピート決定です。お世話になりました。
78179,shimane,1月24日の最強寒波の日に宿泊しました。あいにくの降雪で宿にこもりきりとなってしまいましたが、スタッフの皆さま全員の素晴らしい接客に感動し気持ちよく過ごさせて頂きました。食事も期待以上で大変美味しかったです。
